antal_sålda,gata,id
1,"Slutpriser bostäder - Spektens Gränd, Stockholms kommun",475168
0,"Slutpriser bostäder - Stortorget, Stockholms kommun",475169
6,"Slutpriser bostäder - Svartmangatan, Stockholms kommun",475170
0,"Slutpriser bostäder - Triewaldsgränd, Stockholms kommun",475171
0,"Slutpriser bostäder - Trångsund, Stockholms kommun",475172
0,"Slutpriser bostäder - Tyska Brunnsplan, Stockholms kommun",475173
0,"Slutpriser bostäder - Tyska Stallplan, Stockholms kommun",475174
5,"Slutpriser bostäder - Västerlånggatan, Stockholms kommun",475175
6,"Slutpriser bostäder - Bredgränd, Stockholms kommun",475176
2,"Slutpriser bostäder - Brunnsgränd, Stockholms kommun",475177
0,"Slutpriser bostäder - Drakens Gränd, Stockholms kommun",475178
0,"Slutpriser bostäder - Ferkens Gränd, Stockholms kommun",475179
0,"Slutpriser bostäder - Finska Kyrkogränd, Stockholms kommun",475180
0,"Slutpriser bostäder - Gaffelgränd, Stockholms kommun",475181
0,"Slutpriser bostäder - Högvaktsterrassen, Stockholms kommun",475182
3,"Slutpriser bostäder - Johannesgränd, Stockholms kommun",475183
0,"Slutpriser bostäder - Karl Johans torg, Stockholms kommun",475184
0,"Slutpriser bostäder - Kråkgränd, Stockholms kommun",475185
0,"Slutpriser bostäder - Kungliga Slottet, Stockholms kommun",475186
0,"Slutpriser bostäder - Lejonbacken, Stockholms kommun",475187
0,"Slutpriser bostäder - Lilla Hoparegränd, Stockholms kommun",475188
0,"Slutpriser bostäder - Norra Bankogränd, Stockholms kommun",475189
0,"Slutpriser bostäder - Norra Dryckesgränd, Stockholms kommun",475190
0,"Slutpriser bostäder - Nygränd, Stockholms kommun",475191
0,"Slutpriser bostäder - Packhusgränd, Stockholms kommun",475192
4,"Slutpriser bostäder - Pelikansgränd, Stockholms kommun",475193
0,"Slutpriser bostäder - Pontonbryggan, Stockholms kommun",475194
0,"Slutpriser bostäder - Räntmästartrappan, Stockholms kommun",475195
3,"Slutpriser bostäder - Skeppar Karls Gränd, Stockholms kommun",475196
0,"Slutpriser bostäder - Skeppsbrokajen, Stockholms kommun",475197
4,"Slutpriser bostäder - Skeppsbron, Stockholms kommun",475198
1,"Slutpriser bostäder - Skottgränd, Stockholms kommun",475199
0,"Slutpriser bostäder - Slottsbacken, Stockholms kommun",475200
0,"Slutpriser bostäder - Slottskajen, Stockholms kommun",475201
0,"Slutpriser bostäder - Slussplan, Stockholms kommun",475202
2,"Slutpriser bostäder - Stora Hoparegränd, Stockholms kommun",475203
0,"Slutpriser bostäder - Strömparterren, Stockholms kommun",475204
0,"Slutpriser bostäder - Södra Bankogränd, Stockholms kommun",475205
0,"Slutpriser bostäder - Södra Dryckesgränd, Stockholms kommun",475206
2,"Slutpriser bostäder - Telegrafgränd, Stockholms kommun",475207
0,"Slutpriser bostäder - Tullgränd, Stockholms kommun",475208
4,"Slutpriser bostäder - Baggensgatan, Stockholms kommun",475209
3,"Slutpriser bostäder - Bollhusgränd, Stockholms kommun",475210
0,"Slutpriser bostäder - Fru Gunillas Gränd, Stockholms kommun",475211
4,"Slutpriser bostäder - Kindstugatan, Stockholms kommun",475212
0,"Slutpriser bostäder - Köpmanbrinken, Stockholms kommun",475213
13,"Slutpriser bostäder - Köpmangatan, Stockholms kommun",475214
0,"Slutpriser bostäder - Köpmantorget, Stockholms kommun",475215
0,"Slutpriser bostäder - Norra Benickebrinken, Stockholms kommun",475216
0,"Slutpriser bostäder - Peder Fredags Gränd, Stockholms kommun",475217
5,"Slutpriser bostäder - Själagårdsgatan, Stockholms kommun",475218
3,"Slutpriser bostäder - Skeppar Olofs Gränd, Stockholms kommun",475219
0,"Slutpriser bostäder - Staffan Sasses Gränd, Stockholms kommun",475220
0,"Slutpriser bostäder - Södra Benickebrinken, Stockholms kommun",475221
0,"Slutpriser bostäder - Trädgårdsgatan, Stockholms kommun",475222
0,"Slutpriser bostäder - Trädgårdstvärgränd, Stockholms kommun",475223
0,"Slutpriser bostäder - Tyska Skolgränd, Stockholms kommun",475224
5,"Slutpriser bostäder - Österlånggatan, Stockholms kommun",475225
385,"Slutpriser bostäder - Sveavägen, Stockholms kommun",475226
57,"Slutpriser bostäder - Holländargatan, Stockholms kommun",475227
4,"Slutpriser bostäder - Olofsgatan, Stockholms kommun",475228
28,"Slutpriser bostäder - Adolf Fredriks Kyrkogata, Stockholms kommun",475229
9,"Slutpriser bostäder - Apelbergsgatan, Stockholms kommun",475230
203,"Slutpriser bostäder - Luntmakargatan, Stockholms kommun",475231
10,"Slutpriser bostäder - Tunnelgatan, Stockholms kommun",475232
5,"Slutpriser bostäder - Brunnsgatan, Stockholms kommun",475233
60,"Slutpriser bostäder - David Bagares gata, Stockholms kommun",475234
0,"Slutpriser bostäder - Drottninghuset, Stockholms kommun",475235
14,"Slutpriser bostäder - Johannes plan, Stockholms kommun",475236
28,"Slutpriser bostäder - Johannesgatan, Stockholms kommun",475237
7,"Slutpriser bostäder - Malmskillnadsgatan, Stockholms kommun",475238
13,"Slutpriser bostäder - Drottninghusgränd, Stockholms kommun",475239
5,"Slutpriser bostäder - Jutas backe, Stockholms kommun",475240
95,"Slutpriser bostäder - Regeringsgatan, Stockholms kommun",475241
4,"Slutpriser bostäder - Smala Gränd, Stockholms kommun",475242
11,"Slutpriser bostäder - Snickarbacken, Stockholms kommun",475243
310,"Slutpriser bostäder - Döbelnsgatan, Stockholms kommun",475244
5,"Slutpriser bostäder - Rosengatan, Stockholms kommun",475245
179,"Slutpriser bostäder - Tegnérgatan, Stockholms kommun",475246
